Rank 3: 536280.000000, 298849.000000, 535900.000000, 299644.000000, 537088.562500
Rank 3: 536280.000000, 298849.000000, 538442.000000, 299851.000000, 299945.843750
Rank 3: 536280.000000, 298849.000000, 537013.000000, 296093.000000, 0.000000
Rank 3: 536280.000000, 298849.000000, 533896.000000, 300996.000000, 0.000000
Rank 3: 536280.000000, 298849.000000, 532754.000000, 300348.000000, 0.000001
Rank 3: 536280.000000, 298849.000000, 534491.000000, 302379.000000, 0.000000
Rank 3: 536280.000000, 298849.000000, 540383.000000, 298624.000000, 0.000001
Rank 3: 536280.000000, 298849.000000, 532569.000000, 301168.000000, 0.000000
Rank 3: 536280.000000, 298849.000000, 540637.000000, 298416.000000, 0.000001
Rank 3: 536280.000000, 298849.000000, 537097.000000, 303257.000000, 0.000000
Rank 3: 536280.000000, 298849.000000, 540893.000000, 298842.000000, 0.000001
Rank 3: 536280.000000, 298849.000000, 540988.000000, 299732.000000, 0.000000
Rank 0: 451408.000000, 304435.000000, 451944.000000, 303651.000000, 449372.500000
Rank 0: 451408.000000, 304435.000000, 449331.000000, 302362.000000, 302278.843750
Rank 0: 451408.000000, 304435.000000, 452482.000000, 307651.000000, 0.000000
Rank 0: 451408.000000, 304435.000000, 451568.000000, 300326.000000, 0.000000
Rank 0: 451408.000000, 304435.000000, 450577.000000, 299665.000000, 0.000000
Rank 0: 451408.000000, 304435.000000, 451578.000000, 298914.000000, 0.000000
Rank 0: 451408.000000, 304435.000000, 454578.000000, 298751.000000, 0.000000
Rank 0: 451408.000000, 304435.000000, 444838.000000, 303093.000000, 0.000000
Rank 0: 451408.000000, 304435.000000, 444286.000000, 304612.000000, 258316788519148303085476590764687360.000000
Rank 0: 451408.000000, 304435.000000, 445320.000000, 300234.000000, 0.000000
Rank 0: 451408.000000, 304435.000000, 447453.000000, 310713.000000, 0.000000
Rank 0: 451408.000000, 304435.000000, 448515.000000, 297374.000000, 0.000000
Rank 1: 418281.000000, 402790.000000, 419502.000000, 398891.000000, 423316.750000
Rank 1: 418281.000000, 402790.000000, 425150.000000, 404357.000000, 400181.343750
Rank 1: 418281.000000, 402790.000000, 425649.000000, 403061.000000, 0.000000
Rank 1: 418281.000000, 402790.000000, 422795.000000, 396789.000000, 0.000000
Rank 1: 418281.000000, 402790.000000, 423359.000000, 397004.000000, 0.000000
Rank 1: 418281.000000, 402790.000000, 412143.000000, 398087.000000, 0.000000
Rank 1: 418281.000000, 402790.000000, 422319.000000, 396127.000000, 0.000000
Rank 1: 418281.000000, 402790.000000, 425084.000000, 407566.000000, 0.000000
Rank 1: 418281.000000, 402790.000000, 426012.000000, 405917.000000, 0.000000
Rank 1: 418281.000000, 402790.000000, 425564.000000, 398114.000000, 0.000000
Rank 1: 418281.000000, 402790.000000, 427135.000000, 400463.000000, 0.027563
Rank 1: 418281.000000, 402790.000000, 425089.000000, 395800.000000, 0.000000
Rank 2: 490818.000000, 351336.000000, 491213.000000, 352071.000000, 490866.500000
Rank 2: 490818.000000, 351336.000000, 491003.000000, 352797.000000, 350474.500000
Rank 2: 490818.000000, 351336.000000, 492279.000000, 350885.000000, 0.000000
Rank 2: 490818.000000, 351336.000000, 490240.000000, 349365.000000, 0.000000
Rank 2: 490818.000000, 351336.000000, 491708.000000, 349434.000000, 0.000000
Rank 2: 490818.000000, 351336.000000, 492616.000000, 352620.000000, 0.000000
Rank 2: 490818.000000, 351336.000000, 493057.000000, 349563.000000, 0.000000
Rank 2: 490818.000000, 351336.000000, 488266.000000, 353455.000000, 0.000000
Rank 2: 490818.000000, 351336.000000, 492099.000000, 347739.000000, 0.000000
